x,y,z,n_valid_orientations / 100
0.125,0.0,-0.163265306122449,9
0.125,0.0,-0.13265306122448983,5
0.125,0.0,-0.10204081632653061,6
0.125,0.0,-0.07142857142857145,4
0.125,0.0,-0.040816326530612235,6
0.125,0.0,-0.010204081632653073,7
0.125,0.0,0.020408163265306145,7
0.125,0.0,0.05102040816326525,7
0.125,0.0,0.08163265306122447,8
0.125,0.0,0.11224489795918369,6
0.125,0.0,0.1428571428571428,3
0.125,0.0,0.173469387755102,0
0.125,0.0,0.20408163265306123,1
0.125,0.0,0.23469387755102034,0
0.125,0.0,0.26530612244897955,0
0.125,0.0,0.29591836734693877,0
0.125,0.0,0.326530612244898,0
0.125,0.0,0.3571428571428571,0
0.125,0.0,0.3877551020408163,0
0.125,0.0,0.41836734693877553,2
0.125,0.0,0.44897959183673464,2
0.125,0.0,0.47959183673469385,3
0.125,0.0,0.510204081632653,7
0.125,0.0,0.5408163265306123,1
0.125,0.0,0.5714285714285714,2
0.125,0.0,0.6020408163265305,1
0.125,0.0,0.6326530612244898,6
0.125,0.0,0.6632653061224489,7
0.125,0.0,0.693877551020408,5
0.125,0.0,0.7244897959183674,6
0.125,0.0,0.7551020408163265,8
0.125,0.0,0.7857142857142856,7
0.125,0.0,0.8163265306122449,7
0.125,0.0,0.846938775510204,0
0.125,0.0,0.8775510204081631,0
0.125,0.0,0.9081632653061225,0
0.125,0.0,0.9387755102040816,0
0.125,0.0,0.9693877551020407,0
0.125,0.0,1.0,0
0.15625,0.0,-0.5,0
0.15625,0.0,-0.46938775510204084,0
0.15625,0.0,-0.4387755102040816,0
0.15625,0.0,-0.40816326530612246,0
0.15625,0.0,-0.37755102040816324,0
0.15625,0.0,-0.3469387755102041,0
0.15625,0.0,-0.3163265306122449,0
0.15625,0.0,-0.2857142857142857,0
0.15625,0.0,-0.25510204081632654,0
0.15625,0.0,-0.22448979591836737,0
0.15625,0.0,-0.19387755102040816,4
0.15625,0.0,-0.163265306122449,6
0.15625,0.0,-0.13265306122448983,2
0.15625,0.0,-0.10204081632653061,9
0.15625,0.0,-0.07142857142857145,7
0.15625,0.0,-0.040816326530612235,7
0.15625,0.0,-0.010204081632653073,8
0.15625,0.0,0.020408163265306145,7
0.15625,0.0,0.05102040816326525,5
0.15625,0.0,0.08163265306122447,7
0.15625,0.0,0.11224489795918369,5
0.15625,0.0,0.1428571428571428,3
0.15625,0.0,0.173469387755102,4
0.15625,0.0,0.20408163265306123,0
0.15625,0.0,0.23469387755102034,0
0.15625,0.0,0.26530612244897955,0
0.15625,0.0,0.29591836734693877,0
0.15625,0.0,0.326530612244898,0
0.15625,0.0,0.3571428571428571,1
0.15625,0.0,0.3877551020408163,1
0.15625,0.0,0.41836734693877553,3
0.15625,0.0,0.44897959183673464,3
0.15625,0.0,0.47959183673469385,6
0.15625,0.0,0.510204081632653,3
0.15625,0.0,0.5408163265306123,3
0.15625,0.0,0.5714285714285714,4
0.15625,0.0,0.6020408163265305,6
0.15625,0.0,0.6326530612244898,6
0.15625,0.0,0.6632653061224489,5
0.15625,0.0,0.693877551020408,10
0.15625,0.0,0.7244897959183674,5
0.15625,0.0,0.7551020408163265,7
0.15625,0.0,0.7857142857142856,9
0.15625,0.0,0.8163265306122449,5
0.15625,0.0,0.846938775510204,3
0.15625,0.0,0.8775510204081631,0
0.15625,0.0,0.9081632653061225,0
0.15625,0.0,0.9387755102040816,0
0.15625,0.0,0.9693877551020407,0
0.15625,0.0,1.0,0
0.1875,0.0,-0.5,0
0.1875,0.0,-0.46938775510204084,0
0.1875,0.0,-0.4387755102040816,0
0.1875,0.0,-0.40816326530612246,0
0.1875,0.0,-0.37755102040816324,0
0.1875,0.0,-0.3469387755102041,0
0.1875,0.0,-0.3163265306122449,0
0.1875,0.0,-0.2857142857142857,0
0.1875,0.0,-0.25510204081632654,0
0.1875,0.0,-0.22448979591836737,0
0.1875,0.0,-0.19387755102040816,5
0.1875,0.0,-0.163265306122449,5
0.1875,0.0,-0.13265306122448983,1
0.1875,0.0,-0.10204081632653061,4
0.1875,0.0,-0.07142857142857145,9
0.1875,0.0,-0.040816326530612235,8
0.1875,0.0,-0.010204081632653073,10
0.1875,0.0,0.020408163265306145,9
0.1875,0.0,0.05102040816326525,7
0.1875,0.0,0.08163265306122447,8
0.1875,0.0,0.11224489795918369,8
0.1875,0.0,0.1428571428571428,10
0.1875,0.0,0.173469387755102,5
0.1875,0.0,0.20408163265306123,2
0.1875,0.0,0.23469387755102034,2
0.1875,0.0,0.26530612244897955,0
0.1875,0.0,0.29591836734693877,2
0.1875,0.0,0.326530612244898,1
0.1875,0.0,0.3571428571428571,3
0.1875,0.0,0.3877551020408163,2
0.1875,0.0,0.41836734693877553,5
0.1875,0.0,0.44897959183673464,3
0.1875,0.0,0.47959183673469385,4
0.1875,0.0,0.510204081632653,4
0.1875,0.0,0.5408163265306123,5
0.1875,0.0,0.5714285714285714,3
0.1875,0.0,0.6020408163265305,9
0.1875,0.0,0.6326530612244898,4
0.1875,0.0,0.6632653061224489,3
0.1875,0.0,0.693877551020408,10
0.1875,0.0,0.7244897959183674,6
0.1875,0.0,0.7551020408163265,9
0.1875,0.0,0.7857142857142856,3
0.1875,0.0,0.8163265306122449,4
0.1875,0.0,0.846938775510204,1
0.1875,0.0,0.8775510204081631,0
0.1875,0.0,0.9081632653061225,0
0.1875,0.0,0.9387755102040816,0
0.1875,0.0,0.9693877551020407,0
0.1875,0.0,1.0,0
0.21875,0.0,-0.5,0
0.21875,0.0,-0.46938775510204084,0
0.21875,0.0,-0.4387755102040816,0
0.21875,0.0,-0.40816326530612246,0
0.21875,0.0,-0.37755102040816324,0
0.21875,0.0,-0.3469387755102041,0
0.21875,0.0,-0.3163265306122449,0
0.21875,0.0,-0.2857142857142857,0
0.21875,0.0,-0.25510204081632654,0
0.21875,0.0,-0.22448979591836737,0
0.21875,0.0,-0.19387755102040816,2
0.21875,0.0,-0.163265306122449,14
0.21875,0.0,-0.13265306122448983,5
0.21875,0.0,-0.10204081632653061,5
0.21875,0.0,-0.07142857142857145,8
0.21875,0.0,-0.040816326530612235,1
0.21875,0.0,-0.010204081632653073,10
0.21875,0.0,0.020408163265306145,6
0.21875,0.0,0.05102040816326525,3
0.21875,0.0,0.08163265306122447,6
0.21875,0.0,0.11224489795918369,8
0.21875,0.0,0.1428571428571428,6
0.21875,0.0,0.173469387755102,7
0.21875,0.0,0.20408163265306123,6
0.21875,0.0,0.23469387755102034,7
0.21875,0.0,0.26530612244897955,4
0.21875,0.0,0.29591836734693877,4
0.21875,0.0,0.326530612244898,5
0.21875,0.0,0.3571428571428571,1
0.21875,0.0,0.3877551020408163,3
0.21875,0.0,0.41836734693877553,3
0.21875,0.0,0.44897959183673464,6
0.21875,0.0,0.47959183673469385,5
0.21875,0.0,0.510204081632653,3
0.21875,0.0,0.5408163265306123,2
0.21875,0.0,0.5714285714285714,4
0.21875,0.0,0.6020408163265305,4
